Source,Destination,Distance,Fuel Cost
Munger,Osmanabad,1769.071,12537.995867333333
Tiruvannamalai,Kendujhar,1585.198,11234.826625333333
Jhunjhunu,Pilibhit,550.592,3902.229034666667
Ujjain,Saiha,2854.314,20229.474756
Azamgarh,Beed,1344.634,9529.869369333333
Imphal East,Shopian,3166.656,22443.146624
Sivaganga,Bhagalpur,,
Hamirpur,Dhamtari,823.409,5835.774052666667
Latehar,Tarn Taran,1646.833,11671.654415333334
Bareilly,Mokokchung,2039.039,14451.349072666668
Sultanpur,Subarnapur,814.57,5773.129113333333
Mayurbhanj,Pashchim Champaran,828.69,5873.20226
Champawat,Pulwama,1162.388,8238.231218666666
Cuttack,Lower Subansiri,1820.537,12902.752564666667
Bundi,Sambalpur,1284.434,9103.211902666668
Doda,Nanded,2126.618,15072.050638666666
Dhar,Dadra and Nagar Haveli,529.31,3751.3964066666663
Ghazipur,Chitrakoot,330.536,2342.618810666667
Jhunjhunu,Tawang,2535.554,17970.316382666668
Mandya,Jalna,956.693,6780.402188666667
Warangal,Karnal,1968.112,13948.665781333335
East Kameng,Datia,2044.173,14487.735442
RaeBareli,Yamunanagar,804.924,5704.764696
Jagatsinghapur,Banswara,1632.888,11572.821552000001
Etawah,Sambalpur,1060.907,7519.001544666667
Kheri,Tirunelveli,2576.708,18261.98849866667
Dindigul,Madurai,64.972,460.47822133333335
Kanchipuram,Mainpuri,2086.804,14789.875549333336
Bijnor,Khargone,1149.772,8148.817421333333
Raichur,Champawat,1943.118,13771.524972000001
Krishnagiri,Amreli,1776.089,12587.734772666667
Nalgonda,Muzaffarnagar,1758.991,12466.555547333333
South 24 Parganas,Ganderbal,2416.213,17124.506935333335
Adilabad,Sivasagar,2399.73,17007.68642
Aurangabad,Dadra and Nagar Haveli,318.649,2258.3716793333333
Ramanathapuram,Solapur,1110.617,7871.312884666667
South Goa,Karnal,2017.506,14298.737524000002
Darrang,Alwar,1905.6,13505.6224
Betul,Rohtak,1033.814,7326.984422666667
Nawanshahr,Mandla,1263.154,8952.393449333335
Munger,Barwani,1611.1,11418.402733333334
Mumbai,Baksa,2581.813,18298.169335333336
Sheohar,Kheri,591.942,4195.290268000001
Damoh,Mandla,208.9,1480.5439333333334
Anugul,Darjeeling,1122.099,7952.689645999999
Adilabad,Gonda,1056.763,7489.631635333332
Chandrapur,Perambalur,1222.878,8666.944012
Vizianagaram,Sant Ravidas Nagar,,
Erode,Thrissur,207.558,1471.032732
Sonitpur,Ashoknagar,1971.296,13971.231850666667
Pune,Dohad,690.155,4891.358536666667
Burhanpur,Rajsamand,605.93,4294.427886666666
East Sikkim,Chandrapur,1689.54,11974.33316
Nicobar,Sonbhadra,,
West Medinipur,Pudukkottai,1931.496,13689.155984
Darjeeling,Jehanabad,544.573,3859.570375333333
Fatehpur,Gurgaon,595.338,4219.358852
Nagapattinam,Rangareddy,642.807,4555.787478
Aligarh,Upper Subansiri,2339.54,16581.09982666667
Baramulla,North Dinajpur,2270.577,16092.336058
Rajauri,Karaikal,3226.177,22864.991791333337
Cuddalore,Bharatpur,2180.102,15451.109574666665
Gulbarga,Kohima,2778.202,19690.043641333334
New Delhi,Ghaziabad,29.121,206.390234
Kheri,Surendranagar,1446.124,10249.162829333332
Raisen,Lower Subansiri,2186.66,15497.588306666667
Bareilly,Banswara,1059.83,7511.368486666666
Erode,Mahasamund,1553.199,11008.039046
Lower Dibang Valley,Baksa,648.426,4595.611204
Sant Kabir Nagar,Karimganj,1523.724,10799.139895999999
Surendranagar,Kanker,1253.364,8883.008456000001
Jalor,Alwar,611.381,4333.060940666666
Jehanabad,Gurgaon,1088.803,7716.709795333335
Hamirpur,Poonch,273.988,1941.8442853333336
Jhansi,Jalgaon,772.007,5471.470944666667
North Delhi,Gadchiroli,1220.217,8648.084618
Murshidabad,Dhenkanal,654.766,4640.544897333333
Bilaspur,Kamrup,2221.559,15744.929152666668
Tirap,Krishna,2651.665,18793.233743333334
Kiphire,Sikar,2579.838,18284.171852000003
Chitrakoot,North Dinajpur,887.433,6289.533482
Tinsukia,Anantnag,3113.291,22064.93108066667
Dhar,Patan,449.073,3182.7300419999997
Jodhpur,Hoshiarpur,746.015,5287.256976666667
Banda,Erode,1951.508,13830.987698666668
Pilibhit,Purba Champaran,692.226,4906.036404
Umaria,Pashchim Champaran,755.094,5351.602876000001
Hamirpur,Tirap,2784.574,19735.204129333335
Moradabad,Mandi,548.886,3890.138044
Nanded,Moradabad,1407.682,9976.711561333334
Patna,Senapati,1337.435,9478.847656666667
Amravati,Auraiya,869.945,6165.590196666668
Rewa,Ernakulam,2139.806,15165.518390666668
Beed,Una,1730.506,12264.672857333335
Balrampur,Sitapur,162.718,1153.2367053333332
Palakkad,Tirunelveli,375.724,2662.8812293333335
Gonda,Bharuch,1295.223,9179.677141999999
Darbhanga,Ambedkar Nagar,446.472,3164.2958879999996
South Dinajpur,Doda,2282.288,16175.335818666668
Lohardaga,Cachar,1393.983,9879.622182
Ri Bhoi,Papum Pare,422.781,2996.3898740000004
Ferozepur,Mandi,319.257,2262.680778
Moga,Muktsar,77.836,551.6496773333333
Mokokchung,Rajauri,3033.776,21501.381770666667
Churachandpur,Hathras,2296.345,16274.962463333333
Moradabad,East Medinipur,1466.171,10391.242600666668
Bhagalpur,East Siang,1189.721,8431.949300666667
Pauri Garhwal,Kiphire,2456.439,17409.602006
Guna,Baksa,1831.139,12977.892472666666
West Kameng,Etah,1929.207,13672.933078
Virudhunagar,Nawanshahr,2972.211,21065.050094
Ganderbal,Wokha,3085.97,21871.298046666663
Rewa,Meerut,827.34,5863.63436
Medak,Hailakandi,2229.881,15803.909940666665
Mahbubnagar,Indore,881.729,6249.107332666667
Mansa,Shopian,586.069,4153.666359333333
Bongaigaon,Gadchiroli,1848.003,13097.413262
Kottayam,Senapati,3535.197,25055.119538
Bhavnagar,Dhemaji,3031.61,21486.030606666667
Katihar,Banda,881.367,6246.5417179999995
Baran,Dhar,374.573,2654.723708666667
Rupnagar,Junagadh,1486.676,10536.568370666668
Sheopur,Beed,970.877,6880.928924666667
Jhajjar,Chatra,1174.715,8325.596776666665
Rajsamand,Mahbubnagar,1375.205,9746.536236666665
East Medinipur,Bikaner,2022.024,14330.758095999998
Sirsa,Nandurbar,1221.795,8659.26843
New Delhi,Pilibhit,302.378,2143.0536786666667
Malkangiri,Kutch,1716.466,12165.166697333334
Mandsaur,Ri Bhoi,2206.864,15640.780789333334
Krishnagiri,Idukki,433.238,3070.502118666667
Kolasib,Pune,2855.11,20235.116273333333
Hooghly,Garhwa,542.205,3842.787570000001
Haveri,Umaria,1487.712,10543.910848000001
Deogarh,Koriya,451.119,3197.2307260000002
Araria,Bharuch,1978.632,14023.224528000002
Rangareddy,Raisen,1173.751,8318.764587333333
Karbi Anglong,Ariyalur,3105.076,22006.708637333333
Sahibganj,Una,1728.093,12247.571122000001
Araria,Mamit,1128.137,7995.482964666666
Karaikal,Jind,2581.313,18294.625668666667
Tehri Garhwal,Mahasamund,1537.021,10893.380167333333
Ahmedabad,Gumla,1547.907,10970.532878
Bhiwani,West Sikkim,1756.478,12448.745078666667
Parbhani,Vidisha,688.118,4876.921638666668
Indore,Latur,678.128,4806.119178666667
Gautam Buddha Nagar,Pune,1475.353,10456.318495333335
Gadchiroli,Barnala,1492.571,10578.348200666667
Wayanad,Shivpuri,1963.88,13918.672186666667
Sagar,Pulwama,1427.801,10119.301620666665
Jaipur,Ashoknagar,456.373,3234.4675753333336
Reasi,South 24 Parganas,2265.389,16055.566972666667
Zunheboto,Dhanbad,1347.024,9546.808095999999
Theni,Malappuram,303.276,2149.418104
Rajsamand,Surat,552.803,3917.8991286666665
Raigad,Uttar Kannada,671.704,4760.590149333333
Jamui,Gondia,1099.062,7789.418747999999
Kiphire,Chickmagalur,3461.377,24531.932591333334
Vadodara,Puri,1660.552,11768.885541333333
Barmer,Adilabad,1450.932,10283.238728
Murshidabad,Karauli,1456.541,10322.991580666667
Nuapada,Andaman,,
Almora,Jhalawar,936.794,6639.371342666667
Hingoli,Sheikhpura,1409.052,9986.421208
Nagapattinam,Kolasib,2949.781,20906.081207333333
Supaul,Dhanbad,364.574,2583.857462666667
Subarnapur,Mahbubnagar,1000.426,7090.352537333334
Karaikal,Boudh,1572.851,11147.319320666667
Barabanki,Junagadh,1517.999,10758.564912666667
West Khasi Hills,Rampur,1781.621,12626.941900666669
Karauli,Khagaria,1156.13,8193.878686666669
Mahesana,Changlang,3145.629,22294.121266
Gonda,Mandi,1061.79,7525.259660000001
Lower Dibang Valley,Basti,1693.852,12004.893741333333
Nadia,Hingoli,1572.004,11141.316349333332
Chennai,Mohali,2425.796,17192.424850666666
Gurgaon,Pudukkottai,2489.492,17643.859634666667
Aizawl,Mayurbhanj,1315.088,9320.467018666666
West Singhbhum,Gondia,758.199,5373.609046
Dantewada,Chennai,855.765,6065.09181
Karur,Sambalpur,1675.731,11876.464174
Begusarai,Tiruvarur,2367.256,16777.532357333333
Varanasi,Dimapur,1402.035,9936.689390000001
North Goa,Khordha,1705.923,12090.444942
Bulandshahr,Ghaziabad,56.555,400.8241366666667
Upper Subansiri,Bathinda,2879.684,20409.280402666667
Dholpur,North 24 Parganas,1427.077,10114.170391333335
Damoh,Rajauri,1519.953,10772.413562000002
Perambalur,Kendrapara,1572.437,11144.385164666666
Unnao,Lahul & Spiti,1144.316,8110.148930666667
Upper Siang,Basti,1771.335,12554.04159
Katni,Vaishali,639.601,4533.065487333333
Bikaner,Hamirpur,648.137,4593.562964666666
Deoghar,Ambedkar Nagar,576.274,4084.2459293333336
Mayurbhanj,Hazaribag,358.497,2540.7877380000004
Kannauj,Reasi,1081.002,7661.421508
Murshidabad,Godda,186.505,1321.8231033333332
Jaintia Hills,Latehar,1494.397,10591.289671333332
South West Delhi,Bagalkot,1759.788,12472.204152
Mandla,Pulwama,1692.18,11993.04372
Katihar,Diu,2281.706,16171.210990666666
Kulgam,Kaithal,618.97,4386.846713333334
Zunheboto,Jamui,1209.621,8572.987234
Shahdol,Birbhum,874.829,6200.204732666666
Senapati,Jalandhar,2735.724,19388.987896000002
Cuddapah,Janjgir-Champa,1358.361,9627.157194
Fatehpur,Hassan,2139.251,15161.584920666668
Jalandhar,Sirohi,913.477,6474.115991333333
Namakkal,Warangal,682.109,4834.333852666667
Daman,Lakhisarai,1881.174,13332.507195999999
Ri Bhoi,Theni,3242.327,22979.452224666667
Sehore,Chittoor,1485.815,10530.466176666667
Kamrup,Kargil,2873.16,20363.04264
Dharmapuri,Vidisha,1640.056,11623.623557333334
Pune,East Kameng,2887.72,20466.23421333333
Lawngtlai,North Tripura,410.058,2906.217732
Datia,Cachar,2093.311,14835.992827333333
Datia,Kurnool,1376.761,9757.564127333333
Vadodara,Rajkot,294.833,2089.579748666667
Imphal West,Chandauli,1578.125,11184.697916666666
Vizianagaram,Serchhip,1979.754,14031.176516
Datia,Hardoi,360.073,2551.9573753333334
Unnao,Bhind,214.818,1522.4867720000002
North Dinajpur,Sagar,1213.362,8599.500948
Deogarh,Jaipur,1586.689,11245.393839333334
Nalbari,Jalpaiguri,352.716,2499.815864
Kanker,Saharsa,1098.411,7784.804894000001
Sirmaur,Ganjam,2061.747,14612.288238
Tonk,Mayurbhanj,1644.373,11654.219575333334
Akola,Sitamarhi,1366.295,9683.388096666667
Tirap,Banka,1197.477,8486.918658
Bhind,Panipat,443.095,3140.3619633333337
Samba,Ukhrul,2931.514,20776.616889333334
South Sikkim,Navsari,2337.614,16567.449622666667
Udupi,Sonipat,2187.152,15501.075274666668
Palamu,Chirang,957.451,6785.774387333334
Korba,Bikaner,1493.486,10584.833110666668
Palamu,Nalgonda,1396.366,9896.511297333333
Bathinda,Shimoga,2248.364,15934.905122666665
Osmanabad,Saharsa,1823.191,12921.562347333334
West Godavari,Alirajpur,1382.755,9800.045603333334
Darbhanga,Koraput,1157.799,8205.707446
Shajapur,Lucknow,690.567,4894.278518
Bongaigaon,Jabalpur,1415.018,10028.704238666667
Poonch,Chickmagalur,2712.331,19223.193907333334
East Singhbhum,Nuapada,640.602,4540.1599080000005
Vidisha,Madhepura,1132.661,8027.546060666667
Deoghar,Malkangiri,1066.926,7561.660204
Moga,Rohtas,1360.973,9645.669308666667
Kishanganj,Farrukhabad,1063.274,7535.777262666666
Chittoor,Bellary,367.116,2601.873464
Dhule,Chittorgarh,531.291,3765.4364140000002
Pauri Garhwal,Shahjahanpur,381.298,2702.3860253333337
Chamba,South Sikkim,2203.684,15618.243069333335
Mon,Chickmagalur,3547.261,25140.621127333336
Chandauli,Chamba,1473.952,10446.389141333335
Deogarh,Theni,1894.679,13428.221632666668
Nellore,Fatehgarh Sahib,2267.783,16072.534048666666
Korba,Beed,990.778,7021.973945333334
Chittoor,Firozabad,1986.633,14079.930282000001
East Godavari,Cachar,1987.746,14087.818484000001
Korba,Jashpur,214.887,1522.975798
Kannauj,Lahul & Spiti,1058.818,7504.196105333333
Wayanad,Bidar,978.409,6934.3107193333335
Gonda,Bhind,390.499,2767.596579333334
Faridabad,Bijnor,174.962,1240.0140146666665
North Sikkim,Kolhapur,2548.395,18061.32483
West Sikkim,Morena,1509.913,10701.256735333332
Alappuzha,Meerut,2732.58,19366.70532
Ganjam,Bhandara,803.914,5697.606489333333
Virudhunagar,Rohtas,2403.146,17031.896750666667
Dhalai,West Sikkim,1099.504,7792.551349333333
Kishtwar,Dakshin Kannada,2672.823,18943.187542
Wokha,Faridkot,2663.027,18873.760024666666
Gonda,East Godavari,1469.858,10417.373598666667
Bhavnagar,Imphal West,3130.999,22190.433579333334
Deogarh,Kheri,1148.674,8141.035529333333
Fatehgarh Sahib,Hamirpur,160.306,1136.1420573333335
Ambala,Gopalganj,1154.974,8185.685729333333
Chandigarh,Kottayam,2913.89,20651.709726666668
Tirunelveli,Sundergarh,1998.252,14162.278008000001
Tawang,Lalitpur,2233.26,15827.858040000001
Anantnag,Gaya,1819.516,12895.516397333335
Pithoragarh,Dhalai,2266.026,16060.081604
Kolkata,Farrukhabad,1200.709,8509.824919333334
Sheopur,Fatehabad,618.76,4385.3583733333335
Raipur,Hardoi,1031.515,7310.690643333334
Siwan,Azamgarh,139.097,985.8268046666667
Mahesana,Sheikhpura,1815.277,12865.473191333334
Bilaspur,Siddharthnagar,1000.001,7087.340420666666
Udupi,Goalpara,3044.544,21577.698175999998
Lakshadweep,Nadia,,
Harda,Balaghat,435.398,3085.810758666667
Kinnaur,Guna,1135.366,8046.717297333334
Lahul & Spiti,Vadodara,1611.002,11417.708174666666
Nawanshahr,Kaithal,199.902,1416.772108
Darbhanga,South West Delhi,1177.679,8346.603632666669
Baksa,Pauri Garhwal,1890.077,13395.605724666668
Kurung Kumey,Etah,2197.553,15574.790628666668
Nandurbar,Panch Mahals,284.055,2013.1924700000002
