Distance From City,Distance To City,Distance (km)
Tiruchchirappalli (Tamil Nadu),Kota (Rajasthan),1625.41
Bhubaneshwar (Orissa),Aligarh (Uttar Pradesh),1158.03
Bareilly (Uttar Pradesh),Moradabad (Uttar Pradesh),81.92
Bhiwandi (Maharashtra),Raipur (Chhattisgarh),918.89
Gorakhpur (Uttar Pradesh),Bhilai (Chhattisgarh),646.55
Jamshedpur (Jharkhand),Cochin (Kerala),1776.67
Amravati (Maharashtra),Cuttack (Orissa),847.05
Bikaner (Rajasthan),Warangal (Andhra Pradesh),1285.41
Bhavnagar (Gujarat),Guntur (Andhra Pradesh),1062.85
Dehra Dun (Uttarakhand),Durgapur (Bengal),1192.68
Ajmer (Rajasthan),Ulhasnagar (Maharashtra),818.48
Kolhapur (Maharashtra),Shiliguri (Bengal),1839.52
Asansol (Bengal),Jamnagar (Gujarat),1734.73
Saharanpur (Uttar Pradesh),Gulbarga (Karnataka),1406.58
Bhatpara (Bengal),Jammu (Jammu and Kashmir),1722.38
Ujjain (Madhya Pradesh),Nangi (Bengal),1277.39
Calicut (Kerala),Tirunelveli (Tamil Nadu),350.88
Malegaon (Maharashtra),Jalgaon (Maharashtra),119.29
Akola (Maharashtra),Belgaum (Karnataka),602
Gaya (Bihar),Udaipur (Rajasthan),1143.21
Korba (Chhattisgarh),Bokaro (Jharkhand),371.76
Mangalore (Karnataka),Jhansi (Uttar Pradesh),1450.04
Nellore (Andhra Pradesh),Tiruppur (Tamil Nadu),466.75
Quilon (Kerala),Panihati (Bengal),1983.75
Ahmadnagar (Maharashtra),Dhule (Maharashtra),202.06